path,class,n_class
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_0.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_1.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_2.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_3.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_4.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_5.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_6.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_7.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_8.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_9.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_10.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_11.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_12.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_13.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_14.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_15.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_16.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_17.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_18.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_19.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_20.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_21.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_22.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_23.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_24.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_25.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_26.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_27.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_28.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_29.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_30.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_31.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_32.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_33.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_34.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_35.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_36.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_37.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_38.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_39.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_40.jpg,Ac,0
/data/mandonaire/Cloudappreciationsociety/filtered_images_data_aug/train/Ac/Ac_41.jpg,Ac,0
